epoch,loss,r2_2,val_loss,val_r2_2
0,0.07297954015825946,0.926387,0.011112399015486576,0.98887277
1,0.005484642062882392,0.9944758,0.0027460339104070134,0.99725425
2,0.0023634115983700867,0.9976201,0.0014318232622172313,0.99856883
3,0.0016333869254358264,0.9983543,0.0022904890183404526,0.99770874
4,0.001491629220151657,0.99850035,0.0022761205048907403,0.99772394
5,0.0011200106392673555,0.99887204,0.0012343213948765074,0.99876696
6,0.0009884686991372764,0.9990024,0.0006551028021139113,0.9993459
7,0.0008019363176288327,0.99919564,0.0003786600518165452,0.99962115
8,0.0007648180686082135,0.9992294,0.0004128580754439938,0.9995876
9,0.000758522404785908,0.99923575,0.0010795601013042077,0.9989206
10,0.0007275430582130557,0.99926776,0.00041913156393282844,0.99957925
11,0.0005720183184372783,0.99942446,0.0006199513841153399,0.9993789
12,0.0006563414771386618,0.9993387,0.0006204488733050337,0.99937904
13,0.0004891327236549548,0.999507,0.0003176867730967337,0.99968284
14,0.0005217287020724387,0.9994752,0.0002052087495563447,0.9997946
15,0.0005173527200662406,0.99948007,0.0005359921407497723,0.9994639
16,0.0004711778978553538,0.9995249,0.00021870520328175127,0.9997813
17,0.00041931011884614234,0.9995777,0.000252108498338959,0.9997483
18,0.0004400507354299877,0.9995581,0.00017761909931958674,0.99982256
19,0.00037669593974692077,0.99962026,0.0002857912439286129,0.9997148
20,0.00039651017493701153,0.99960196,0.0001686134644918598,0.99983174
21,0.0003425044000097649,0.99965596,0.0003152199114439984,0.99968493
22,0.0004126652952254543,0.99958366,0.00026116480589218066,0.9997388
23,0.0003530120917239789,0.9996473,0.00012480256814592706,0.9998756
24,0.00025084839737979424,0.9997472,0.00014149351115863714,0.9998587
25,0.00036650051288095647,0.9996321,0.00024304799868486037,0.999757
26,0.0002885082682517363,0.9997106,0.0008710649966668444,0.9991275
27,0.00030317891936569537,0.99969363,0.0002101310768701769,0.99978983
28,0.00027007714998026917,0.99972844,0.0001449715620699813,0.999855
29,0.0002574763441644157,0.9997395,0.00012784162641305528,0.999872
30,0.000260124995360994,0.99973726,0.00020895069460758872,0.9997911
31,0.00024334693638326343,0.9997539,0.0003241758484411092,0.9996762
32,0.00023938323806116073,0.99975765,0.00027973392133496573,0.9997208
33,0.0002993891114018543,0.99969804,0.00013903164800140516,0.99986154
